Depth (m),Area (m2)
0.76,1004890.9
2.29,840587.9
3.81,697390.9
5.33,595414.9
6.86,519086.5
8.38,402947.5
9.91,305448.7
11.43,257219.5
12.95,216705.8
14.48,183973.1
16.00,151312.5
17.53,104622.5
19.05,64133
