Date,Depth,Methane
10/28/14,0,3.03605683
10/28/14,2,0.624629016
10/28/14,5.5,0.403261844
10/28/14,7,0.62402454
10/28/14,9,3.426795525
10/28/14,11,60.78442881
10/28/14,13,282.0883248
10/28/14,15,418.6378305
