Date,Oxygen,Depth
10/28/2014,285.8304,0.1
10/28/2014,283.15074,1
10/28/2014,280.91769,2
10/28/2014,280.47108,4
10/28/2014,277.79142,5.5
10/28/2014,271.53888,7
10/28/2014,138.89571,9
10/28/2014,27.68982,11
10/28/2014,4.91271,13
10/28/2014,3.57288,15
10/28/2014,3.57288,16.8
